Time,Open,High,Low,Last,Change
06/26/2020,1763.27,1765.57,1758.25,1762.04,-1.55
06/25/2020,1760.78,1767.74,1756.62,1763.59,2.77
06/24/2020,1766.89,1778.32,1760.82,1760.82,-6.26
06/23/2020,1754.35,1770.19,1747.87,1767.08,12.77
06/22/2020,1742.29,1761.96,1742.29,1754.31,12.06
06/19/2020,1721.87,1743.79,1721.33,1742.25,20.28
06/18/2020,1725.77,1734.88,1717.6,1721.97,-4.14
06/17/2020,1726.34,1728.57,1713.58,1726.11,-0.35
06/16/2020,1724.59,1731.92,1708.37,1726.46,1.82
06/15/2020,1729.49,1733.53,1705.53,1724.64,-4.83
06/12/2020,1726.68,1741.68,1723.45,1729.47,2.89
06/11/2020,1737.33,1743.81,1723.29,1726.58,-10.96
06/10/2020,1714,1738.54,1711.98,1737.54,23.41
06/09/2020,1697.87,1719.88,1692.92,1714.13,16.22
06/08/2020,1684.32,1700.06,1678.27,1697.91,13.54
06/05/2020,1713.16,1715.18,1672.8,1684.37,-28.78
06/04/2020,1697.55,1720.31,1697.12,1713.15,15.49
06/03/2020,1727.34,1730.86,1690,1697.66,-29.68
06/02/2020,1739.33,1743.83,1723.42,1727.34,-11.91
06/01/2020,1728.81,1743.9,1728.81,1739.25,10.42
05/29/2020,1718.25,1735.65,1714.21,1728.83,10.55
05/28/2020,1708.54,1725.83,1707.26,1718.28,9.5
05/27/2020,1709.52,1714.94,1694.6,1708.78,-0.79
05/26/2020,1727.49,1734.14,1708.89,1709.57,-17.92
05/25/2020,1734.39,1734.39,1724.21,1727.49,-6.92
05/22/2020,1726.33,1738.3,1724,1734.41,7.9
05/21/2020,1747.15,1747.44,1719.07,1726.51,-20.69
05/20/2020,1744.41,1751.71,1742.96,1747.2,2.75
05/19/2020,1731.87,1746.49,1726.89,1744.45,12.79
05/18/2020,1741.03,1764.12,1728.94,1731.66,-9.28
05/15/2020,1729.72,1749.45,1728.83,1740.94,11.44
05/14/2020,1715.01,1734.99,1711.12,1729.5,14.31
05/13/2020,1701.26,1716.36,1699.89,1715.19,13.72
05/12/2020,1696.67,1709.47,1693.87,1701.47,4.44
05/11/2020,1702.52,1710.73,1693.39,1697.03,-3.95
05/08/2020,1715.35,1721.9,1700.98,1700.98,-14.41
05/07/2020,1684.67,1720.89,1683.69,1715.39,30.45
05/06/2020,1704.94,1707.28,1683.39,1684.94,-19.93
05/05/2020,1700.77,1710.47,1693.52,1704.87,4.13
05/04/2020,1699.93,1709.1,1692.91,1700.74,2.12
05/01/2020,1685.99,1703.05,1671.36,1698.62,12.8
04/30/2020,1711.76,1720.33,1681.99,1685.82,-26.22
04/29/2020,1707.07,1715.06,1699.16,1712.04,4.86
04/28/2020,1714.51,1714.67,1693.14,1707.18,-7.23
04/27/2020,1726.39,1726.39,1709,1714.41,-11.94
04/24/2020,1729.57,1735.27,1710.77,1726.35,-3.12
04/23/2020,1713.84,1737.29,1707.79,1729.47,15.53
04/22/2020,1683.71,1716.76,1680.65,1713.94,30.61
04/21/2020,1693.88,1695.71,1663.76,1683.33,-10.77
04/20/2020,1680.65,1700.08,1672.32,1694.1,13.68
04/17/2020,1716.81,1717.03,1679.96,1680.42,-36.8
04/16/2020,1715.89,1736.85,1710.96,1717.22,1.21
04/15/2020,1726.29,1729.07,1709.39,1716.01,-10.15
04/14/2020,1711.25,1744.37,1709.53,1726.16,15.13
04/13/2020,1684.56,1720.26,1677.31,1711.03,26.41
04/10/2020,1681.41,1686.01,1680.05,1684.62,3.19
04/09/2020,1644.71,1687.42,1643.69,1681.43,36.67
04/08/2020,1646.89,1654.01,1643.77,1644.76,-2.27
04/07/2020,1657.96,1666.41,1644.64,1647.03,-10.34
04/06/2020,1614.89,1666.11,1611.27,1657.37,42.54
04/03/2020,1610.67,1622.83,1607.57,1614.83,4.49
04/02/2020,1589.94,1617.46,1581.02,1610.34,20.32
04/01/2020,1573.53,1597.36,1564.96,1590.02,14.74
03/31/2020,1621,1622.23,1571.61,1575.28,-45.47
03/30/2020,1621.25,1628.54,1611.49,1620.75,0.24
03/27/2020,1627.61,1630.21,1614.63,1620.51,-7.31
03/26/2020,1613.92,1638.61,1597.45,1627.82,12.37
03/25/2020,1616.03,1634.64,1599.28,1615.45,-4.5
03/24/2020,1550.66,1627.45,1549.7,1619.95,69.16
03/23/2020,1507.99,1559.52,1486.21,1550.79,54.46
03/20/2020,1472.21,1513.88,1463.91,1496.33,23.87
03/19/2020,1485.38,1497.18,1465.6,1472.46,-12.74
03/18/2020,1527.89,1542.97,1475.82,1485.2,-42.69
03/17/2020,1511.69,1548.43,1466.83,1527.89,16.34
03/16/2020,1534.49,1564.94,1453.26,1511.55,-17.49
03/13/2020,1577.55,1595.26,1512.37,1529.04,-48.55
03/12/2020,1635.42,1647.89,1564.13,1577.59,-58.06
03/11/2020,1649.08,1669.44,1634.02,1635.65,-13.39
03/10/2020,1678.76,1679.57,1645.13,1649.04,-29.52
03/09/2020,1673.99,1701.61,1659.92,1678.56,4.38
03/06/2020,1671.98,1689.5,1651.55,1674.18,2.23
03/05/2020,1635.89,1673.51,1635.89,1671.95,35.61
03/04/2020,1640.42,1647.59,1633.51,1636.34,-4.05
03/03/2020,1589.32,1647.13,1588.81,1640.39,51.03
03/02/2020,1586.24,1610.32,1579.73,1589.36,3.67
02/28/2020,1644.13,1648.07,1566.78,1585.69,-58.27
02/27/2020,1640.59,1657.92,1636.76,1643.96,3.37
02/26/2020,1634.83,1654.08,1627.53,1640.59,5.66
02/25/2020,1658.72,1659.18,1634.06,1634.93,-23.67
02/24/2020,1642.79,1687.92,1642.73,1658.6,15.3
02/21/2020,1619.34,1647.97,1619.04,1643.3,23.97
02/20/2020,1611.38,1622.48,1604.56,1619.33,7.88
02/19/2020,1601.23,1612.17,1599.77,1611.45,10.23
02/18/2020,1581.01,1604.46,1581.01,1601.22,20.21
02/17/2020,1584.04,1584.04,1578.91,1581.01,-2.86
02/14/2020,1575.86,1584.5,1573.7,1583.87,7.95
02/13/2020,1565.72,1577.44,1565.67,1575.92,10.23
02/12/2020,1567.64,1569.75,1562.37,1565.69,-1.97
02/11/2020,1571.96,1573.32,1562.82,1567.66,-4.28
02/10/2020,1570.24,1576.43,1568.35,1571.94,1.85
02/07/2020,1566.33,1572.89,1563.1,1570.09,3.73
02/06/2020,1556.2,1567.13,1552.87,1566.36,10.12
02/05/2020,1552.52,1561.84,1548.29,1556.24,3.74
02/04/2020,1576.54,1578.98,1549.56,1552.5,-24.01
02/03/2020,1588.94,1590.31,1571.6,1576.51,-12.14
01/31/2020,1573.88,1589.83,1571.18,1588.65,14.78
01/30/2020,1576.65,1585.19,1572.83,1573.87,-2.78
01/29/2020,1567.38,1577.35,1563.56,1576.65,9.13
01/28/2020,1581.69,1582.23,1566.19,1567.52,-14.2
01/27/2020,1571.49,1585.59,1571.44,1581.72,10.64
01/24/2020,1562.61,1574.87,1556.98,1571.08,8.47
01/23/2020,1558.63,1567.42,1552.4,1562.61,3.98
01/22/2020,1558.08,1559,1550.76,1558.63,0.54
01/21/2020,1559.58,1567.92,1547.4,1558.09,-1.51
01/20/2020,1557.44,1562.31,1556.36,1559.6,2.63
01/17/2020,1552.27,1560.82,1549.81,1556.97,4.66
01/16/2020,1556.11,1558.73,1548.88,1552.31,-3.78
01/15/2020,1546.16,1556.94,1541.94,1556.09,9.92
01/14/2020,1547.77,1548.66,1536.52,1546.17,-1.63
01/13/2020,1561.94,1561.94,1547.27,1547.8,-14.14
01/10/2020,1552.12,1562.35,1545.88,1561.94,9.8
01/09/2020,1555.99,1560.83,1543.08,1552.14,-3.89
01/08/2020,1573.51,1609.12,1552.84,1556.03,-17.45
01/07/2020,1565.58,1575.81,1556.14,1573.48,7.87
01/06/2020,1551.94,1579.02,1551.89,1565.61,13.91
01/03/2020,1528.8,1551.7,1527.95,1551.7,22.93
01/02/2020,1517,1530.46,1517,1528.77,11.8
12/31/2019,1514.79,1524.48,1514.4,1516.97,2.1
12/30/2019,1510.8,1515.74,1510.74,1514.87,4.03
12/27/2019,1510.83,1514.49,1507.49,1510.84,0.02
12/26/2019,1501.42,1512.05,1497.77,1510.82,12.35
12/24/2019,1485.33,1499.95,1484.57,1498.47,13.11
12/23/2019,1478.53,1485.75,1477.52,1485.36,7.56
12/20/2019,1478.7,1480.35,1476,1477.8,-0.88
12/19/2019,1475.33,1480.95,1473.4,1478.68,3.32
12/18/2019,1475.99,1479.02,1470.9,1475.36,-0.57
12/17/2019,1475.83,1479.91,1474.52,1475.93,-0.04
12/16/2019,1475.8,1479.15,1473.16,1475.97,0.54
12/13/2019,1469.45,1477.62,1463.23,1475.43,5.93
12/12/2019,1474.56,1485.71,1465.34,1469.5,-5.11
12/11/2019,1464.19,1477.6,1462.91,1474.61,10.42
12/10/2019,1461.38,1468.52,1460.05,1464.19,2.73
12/09/2019,1459.65,1464.88,1458.92,1461.46,1.8
12/06/2019,1475.68,1476.52,1458.96,1459.66,-15.98
12/05/2019,1474.13,1479.95,1473.41,1475.64,1.54
12/04/2019,1477.14,1483.37,1471.95,1474.1,-2.99
12/03/2019,1462.31,1480.64,1459.87,1477.09,14.8
12/02/2019,1463.66,1464.64,1454.2,1462.29,-0.72
11/29/2019,1456.44,1465.78,1453.32,1463.01,6.55
11/28/2019,1454.19,1457.68,1454.19,1456.46,2.36
11/27/2019,1461.13,1461.62,1452.8,1454.1,-7.05
11/26/2019,1454.77,1462.5,1452.18,1461.15,6.39
11/25/2019,1462.53,1462.53,1454.38,1454.76,-7.2
11/22/2019,1464.22,1472.25,1461.73,1461.96,-2.3
11/21/2019,1471.06,1475.24,1462.9,1464.26,-6.78
11/20/2019,1472.32,1478.33,1466.26,1471.04,-1.29
11/19/2019,1470.99,1474.85,1465.18,1472.33,1.42
11/18/2019,1467.6,1473.32,1456.52,1470.91,3.45
11/15/2019,1470.99,1471.15,1462.78,1467.46,-3.43
11/14/2019,1463.13,1473.35,1461.42,1470.89,7.76
11/13/2019,1456.31,1466.29,1456.06,1463.13,6.79
11/12/2019,1455.69,1459.65,1446.68,1456.34,0.62
11/11/2019,1458.9,1465.97,1448.88,1455.72,-2.99
11/08/2019,1468.3,1472.34,1456.71,1458.71,-9.61
11/07/2019,1490.23,1491.81,1462.96,1468.32,-21.96
11/06/2019,1483.42,1492.77,1483.05,1490.28,6.88
11/05/2019,1509.36,1509.47,1480.59,1483.4,-26.03
11/04/2019,1514.29,1514.29,1505.01,1509.43,-4.37
11/01/2019,1512.49,1514.24,1504.41,1513.8,1.4
10/31/2019,1495.52,1513.54,1493.97,1512.4,16.88
10/30/2019,1487.62,1495.78,1482.52,1495.52,7.77
10/29/2019,1492.44,1494.3,1484.47,1487.75,-4.7
10/28/2019,1504.49,1507.79,1490.4,1492.45,-11.71
10/25/2019,1502.93,1516.65,1501.17,1504.16,1.24
10/24/2019,1491.82,1503.64,1488.3,1502.92,11.15
10/23/2019,1487.61,1495.07,1487.58,1491.77,4.15
10/22/2019,1484.15,1488.54,1481.55,1487.62,3.57
10/21/2019,1490.15,1494.57,1482.16,1484.05,-5.97
10/18/2019,1491.79,1493.74,1485.43,1490.02,-1.82
10/17/2019,1488.57,1496.27,1484.81,1491.84,2.57
10/16/2019,1480.99,1490.56,1478.19,1489.27,8.26
10/15/2019,1492.86,1497.31,1479.03,1481.01,-11.84
10/14/2019,1488.26,1495.54,1483.3,1492.85,4.51
10/11/2019,1493.38,1502.76,1474.78,1488.34,-4.95
10/10/2019,1505.17,1515.58,1492.33,1493.29,-11.94
10/09/2019,1505.23,1510.46,1500.46,1505.23,-0.07
10/08/2019,1493.27,1507.79,1488.49,1505.3,12.07
10/07/2019,1504.48,1508.97,1490.54,1493.23,-11.19
10/04/2019,1504.86,1509.86,1498,1504.42,-0.4
10/03/2019,1499.72,1516.51,1496.73,1504.82,4.98
10/02/2019,1479.17,1504.08,1474.64,1499.84,20.61
10/01/2019,1472.62,1485.43,1456.64,1479.23,6.49
09/30/2019,1496.66,1499.48,1465.83,1472.74,-24.07
09/27/2019,1504.32,1507,1487.86,1496.81,-7.48
09/26/2019,1503.43,1511.33,1502.58,1504.29,0.92
09/25/2019,1531.41,1534.38,1502.08,1503.37,-27.99
09/24/2019,1522.02,1534.62,1516.74,1531.36,9.31
09/23/2019,1516.05,1525.81,1511.85,1522.05,5.61
09/20/2019,1498.64,1516.56,1497.97,1516.44,17.89
09/19/2019,1493.65,1503.17,1489.27,1498.55,4.96
09/18/2019,1501.16,1510.54,1487.3,1493.59,-7.61
09/17/2019,1498.12,1506.67,1493.72,1501.2,3.09
09/16/2019,1489.44,1511.39,1489.44,1498.11,9.84
09/13/2019,1498.79,1508.23,1486.03,1488.27,-10.55
09/12/2019,1496.52,1521.27,1489.52,1498.82,2.39
09/11/2019,1485.48,1497.87,1485.36,1496.43,10.99
09/10/2019,1498.82,1499.72,1484.99,1485.44,-13.31
09/09/2019,1505.99,1514,1498.39,1498.75,-7.2
09/06/2019,1518.88,1526.53,1503.28,1505.95,-12.94
09/05/2019,1552.33,1552.61,1512.89,1518.89,-33.55
09/04/2019,1547.69,1556.11,1534.29,1552.44,4.71
09/03/2019,1528.78,1548.85,1521.96,1547.73,18.91
09/02/2019,1521.17,1532.06,1520.57,1528.82,8.36
08/30/2019,1525.39,1532.04,1517.98,1520.46,-6.36
08/29/2019,1539.94,1549.46,1520.71,1526.82,-13.51
08/28/2019,1542.51,1546,1532.95,1540.33,-2.17
08/27/2019,1526.88,1543.58,1526.56,1542.5,15.24
08/26/2019,1527.4,1552.65,1525.76,1527.26,0.79
08/23/2019,1497.95,1528.68,1481.91,1526.47,28.49
08/22/2019,1502.35,1503.53,1493,1497.98,-4.38
08/21/2019,1507.24,1507.24,1496.86,1502.36,-4.93
08/20/2019,1495.64,1507.64,1494.34,1507.29,11.61
08/19/2019,1512.41,1512.41,1493.83,1495.68,-16.81
08/16/2019,1523.22,1526.72,1505.94,1512.49,-10.8
08/15/2019,1516.2,1525.25,1510.55,1523.29,7.05
08/14/2019,1499.33,1522.65,1495.13,1516.24,15.05
08/13/2019,1511.33,1533.34,1493.99,1501.19,-10.14
08/12/2019,1510.06,1513.54,1488.46,1511.33,14.32
08/09/2019,1500.79,1507.41,1495.04,1497.01,-3.85
08/08/2019,1501.01,1508.53,1491.87,1500.86,-0.13
08/07/2019,1474.07,1508.53,1472.36,1500.99,26.95
08/06/2019,1463.64,1474.36,1457.56,1474.04,10.39
08/05/2019,1440.37,1469.19,1437.15,1463.65,23.28
08/02/2019,1444.71,1447.04,1430.52,1440.37,-4.73
08/01/2019,1412.15,1445.17,1401.3,1445.1,33.02
07/31/2019,1430.59,1432.18,1411.79,1412.08,-18.48
07/30/2019,1426.6,1431.86,1422.46,1430.56,4.06
07/29/2019,1418.25,1427.59,1417.71,1426.5,8.33
07/26/2019,1414.13,1423.57,1414.04,1418.17,4.07
07/25/2019,1425.15,1432.29,1411.66,1414.1,-10.98
07/24/2019,1417.5,1427.63,1416.42,1425.08,7.63
07/23/2019,1424.6,1427.79,1414.71,1417.45,-7.11
07/22/2019,1425.96,1428.7,1422.59,1424.56,-0.46
07/19/2019,1445.7,1450.65,1421.76,1425.02,-20.65
07/18/2019,1426.53,1447.12,1416.18,1445.67,19.3
07/17/2019,1405.98,1426.62,1400.34,1426.37,20.32
07/16/2019,1414.39,1418.09,1401.6,1406.05,-7.66
07/15/2019,1416.89,1417.53,1408.39,1413.71,-1.81
07/12/2019,1404.2,1416.73,1403.34,1415.52,11.72
07/11/2019,1418.78,1424.41,1402.79,1403.8,-14.62
07/10/2019,1397.5,1418.86,1390.27,1418.42,21.11
07/09/2019,1395.9,1399.73,1386.42,1397.31,2.08
07/08/2019,1401.09,1407.6,1392,1395.23,-3.57
07/05/2019,1413.72,1423.94,1387.59,1398.8,-15.07
07/04/2019,1418.4,1423,1410.66,1413.87,-4.59
07/03/2019,1417.91,1435.82,1413.2,1418.46,0.5
07/02/2019,1382.7,1420.72,1382.7,1417.96,34.38
07/01/2019,1411.29,1414.4,1382.1,1383.58,-25.76
06/28/2019,1409.29,1422.89,1406.6,1409.34,0.12
06/27/2019,1408.96,1411,1400.63,1409.22,0.59
06/26/2019,1422.9,1423.79,1403.17,1408.63,-14.46
Downloaded from Barchart.com as of 06-26-2020 05:57am CDT,,,,,
